order_id,customer_id,product_id,quantity,order_date,first_name,last_name,email,state,product_name,category,price,year,month,month_name,total_sales
1,36,101,1,2024-09-28,Kim,Gill,murraylindsey@example.org,VA,Laptop,Electronics,899.99,2024,9,September,899.99
2,89,104,2,2024-06-25,Barbara,Salas,robertsjulie@example.org,VA,Chair,Furniture,129.99,2024,6,June,259.98
3,152,105,5,2024-02-19,Sherry,Delacruz,pmorris@example.org,TX,Monitor,Electronics,199.99,2024,2,February,999.95
4,5,102,4,2024-01-13,Amy,Sims,harrisleslie@example.org,TX,Phone,Electronics,699.99,2024,1,January,2799.96
5,182,105,5,2024-10-05,Bruce,Sullivan,williamsandres@example.net,TX,Monitor,Electronics,199.99,2024,10,October,999.95
6,103,105,5,2024-12-18,Donna,Cox,don19@example.com,VA,Monitor,Electronics,199.99,2024,12,December,999.95
7,70,101,2,2024-03-27,Stephanie,Harrison,ashleyvega@example.com,TX,Laptop,Electronics,899.99,2024,3,March,1799.98
8,30,103,1,2024-02-17,Gerald,Smith,anita08@example.net,FL,Desk,Furniture,299.99,2024,2,February,299.99
9,150,101,5,2024-02-16,Mary,Barker,tim65@example.net,CA,Laptop,Electronics,899.99,2024,2,February,4499.95
10,34,101,3,2024-08-15,Matthew,Gray,maldonadodaniel@example.org,NY,Laptop,Electronics,899.99,2024,8,August,2699.9700000000003
11,157,101,5,2024-09-29,Kathleen,Figueroa,raymond57@example.com,FL,Laptop,Electronics,899.99,2024,9,September,4499.95
12,26,101,3,2024-12-28,Mike,Harris,raymondflores@example.com,NY,Laptop,Electronics,899.99,2024,12,December,2699.9700000000003
13,114,102,5,2024-09-28,Jennifer,Holt,andrew80@example.org,VA,Phone,Electronics,699.99,2024,9,September,3499.95
14,60,105,3,2024-11-03,Ronald,Austin,crodriguez@example.com,TX,Monitor,Electronics,199.99,2024,11,November,599.97
15,87,102,4,2024-12-17,Shane,Schwartz,zcollins@example.org,TX,Phone,Electronics,699.99,2024,12,December,2799.96
17,177,103,5,2024-10-31,Melinda,Henry,tanyadrake@example.com,TX,Desk,Furniture,299.99,2024,10,October,1499.95
18,101,104,1,2024-08-20,Christian,Goodwin,finleychristopher@example.com,FL,Chair,Furniture,129.99,2024,8,August,129.99
20,165,103,3,2024-12-06,Susan,Ward,traceymassey@example.org,TX,Desk,Furniture,299.99,2024,12,December,899.97
21,64,103,3,2024-04-12,Tyler,Clark,howardrobert@example.org,TX,Desk,Furniture,299.99,2024,4,April,899.97
22,156,102,2,2024-12-03,Amanda,Bradley,briggstammy@example.com,CA,Phone,Electronics,699.99,2024,12,December,1399.98
23,91,102,4,2024-11-14,Richard,Woods,josephbutler@example.com,NY,Phone,Electronics,699.99,2024,11,November,2799.96
24,169,104,4,2024-09-13,Heather,Wolfe,wgraham@example.net,CA,Chair,Furniture,129.99,2024,9,September,519.96
25,135,105,2,2024-01-13,Lydia,Phillips,ashley37@example.com,CA,Monitor,Electronics,199.99,2024,1,January,399.98
26,1,103,4,2024-03-16,Erika,Ferguson,morgan43@example.net,NY,Desk,Furniture,299.99,2024,3,March,1199.96
27,37,105,1,2024-05-27,Derrick,Le,mary86@example.org,NY,Monitor,Electronics,199.99,2024,5,May,199.99
28,156,102,3,2024-02-08,Amanda,Bradley,briggstammy@example.com,CA,Phone,Electronics,699.99,2024,2,February,2099.9700000000003
29,50,105,4,2024-06-22,Scott,Simon,xedwards@example.net,CA,Monitor,Electronics,199.99,2024,6,June,799.96
30,54,102,2,2024-06-09,James,Ford,wlynch@example.net,TX,Phone,Electronics,699.99,2024,6,June,1399.98
31,33,103,5,2024-09-01,Lisa,Bautista,probinson@example.net,NY,Desk,Furniture,299.99,2024,9,September,1499.95
32,30,103,3,2024-08-08,Gerald,Smith,anita08@example.net,FL,Desk,Furniture,299.99,2024,8,August,899.97
33,178,105,4,2024-01-11,Thomas,Murphy,joshua54@example.com,NY,Monitor,Electronics,199.99,2024,1,January,799.96
34,140,102,2,2024-04-01,Lisa,Ross,matthewsashley@example.org,CA,Phone,Electronics,699.99,2024,4,April,1399.98
35,12,103,3,2024-11-24,Angela,Thompson,raymond07@example.org,TX,Desk,Furniture,299.99,2024,11,November,899.97
36,160,102,5,2024-08-28,Tammy,Gregory,jenkinsjason@example.org,FL,Phone,Electronics,699.99,2024,8,August,3499.95
37,49,102,4,2024-12-15,Glenn,Williams,chall@example.com,CA,Phone,Electronics,699.99,2024,12,December,2799.96
39,73,103,5,2024-10-28,Brandon,Ewing,fallen@example.net,CA,Desk,Furniture,299.99,2024,10,October,1499.95
41,33,105,2,2024-03-04,Lisa,Bautista,probinson@example.net,NY,Monitor,Electronics,199.99,2024,3,March,399.98
42,175,103,2,2024-02-28,Jack,Thomas,petersonnicole@example.org,TX,Desk,Furniture,299.99,2024,2,February,599.98
43,76,105,5,2024-05-25,Charles,Perez,fgarcia@example.com,VA,Monitor,Electronics,199.99,2024,5,May,999.95
